DOL ,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Base MSRP,Legislative District,Electric Utility,2020 Census Tract,Longitude,latitude
213621460,King,Bellevue,WA,98004,2022,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023805,-122.201905,47.61385
182141963,King,Bellevue,WA,98005,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023500,-122.16085,47.624515
474652076,King,Kent,WA,98030,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029603,-122.199755,47.37483
251423196,King,Redmond,WA,98052,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324,-122.12302,47.67668
171033124,Pierce,Bonney Lake,WA,98391,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,31,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070312,-122.183805,47.18062
228559663,Snohomish,Lynnwood,WA,98036,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,32,PUGET SOUND ENERGY INC,53061051931,-122.316675,47.819365
196589886,King,Seattle,WA,98122,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007700,-122.30839,47.610365
145549414,King,Burien,WA,98146,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,259,0,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700,-122.355145,47.505655
291923187,King,Kirkland,WA,98033,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,32,39995,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701,-122.20264,47.6785
208580123,Kitsap,Poulsbo,WA,98370,2016,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,23,PUGET SOUND ENERGY INC,53035090502,-122.64177,47.737525
186515661,Whatcom,Bellingham,WA,98229,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000902,-122.4569227,48.7470973
199506527,King,Seatac,WA,98148,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
315254411,King,Seattle,WA,98133,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,16,0,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000601,-122.34584,47.76726
348080239,King,North Bend,WA,98045,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704,-121.7814012,47.4935316
238842460,Snohomish,Lynnwood,WA,98036,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,PUGET SOUND ENERGY INC,53061051929,-122.316675,47.819365
319514044,King,Burien,WA,98146,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,16,0,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700,-122.355145,47.505655
9059844,King,Bellevue,WA,98004,2017,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,200,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902,-122.201905,47.61385
126146772,King,Kent,WA,98030,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602,-122.199755,47.37483
474744231,King,Seattle,WA,98133,2018,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000300,-122.34584,47.76726
322487812,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,44,PUGET SOUND ENERGY INC,53061052005,-122.1873,47.820245
172173298,King,Kirkland,WA,98033,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401,-122.20264,47.6785
185417760,King,Sammamish,WA,98074,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318,-122.0313266,47.6285782
226057807,King,Seattle,WA,98102,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500,-122.322345,47.63983
225769673,King,Seattle,WA,98103,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005402,-122.34301,47.659185
199199059,Lewis,Centralia,WA,98531,2022,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,24,0,20,BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),53041970700,-122.9608702,46.717564
107870332,King,Issaquah,WA,98029,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220,-121.999595,47.547635
209032197,King,Seattle,WA,98122,2023,MINI,HARDTOP,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007902,-122.30839,47.610365
196572295,Jefferson,Port Ludlow,WA,98365,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,24,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950302,-122.6872285,47.9281524
141265561,King,Bellevue,WA,98004,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023807,-122.201905,47.61385
3354571,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,21,PUGET SOUND ENERGY INC,53061041812,-122.2559465,47.8656788
180567103,King,Issaquah,WA,98027,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007,-122.03644,47.53374
187491419,King,Mercer Island,WA,98040,2022,AUDI,E-TRON,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024602,-122.2371867,47.5822997
228812111,Clark,Vancouver,WA,98684,2022,RIVIAN,R1T,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041319,-122.51692,45.6228
348426494,Thurston,Olympia,WA,98501,2017,KIA,SOUL EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,93,32250,35,PUGET SOUND ENERGY INC,53067011720,-122.89692,47.043535
185936768,Kitsap,Bainbridge Island,WA,98110,2016,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,23,PUGET SOUND ENERGY INC,53035091002,-122.5235781,47.6293323
207527687,King,Seattle,WA,98105,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004102,-122.319115,47.66132
224426275,King,Bellevue,WA,98005,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022805,-122.16085,47.624515
235048943,Whatcom,Bellingham,WA,98226,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,40,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000804,-122.454025,48.76809
259965023,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,14,PACIFICORP,53077002801,-120.6027202,46.5965625
240565986,Kitsap,Kingston,WA,98346,2023,RIVIAN,R1T,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,23,PUGET SOUND ENERGY INC,53035090102,-122.50156,47.8019
182335429,Pierce,Bonney Lake,WA,98391,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,31,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070312,-122.183805,47.18062
101699916,Pierce,Auburn,WA,98092,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,31,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070316,-122.1820969,47.3198995
6303419,Snohomish,Lake Stevens,WA,98258,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,44,PUGET SOUND ENERGY INC,53061052506,-122.112065,48.004345
